first_name	;last_name	;birth_date;	phone_no
Stefan	;Testowy;	1988.11.11;	600700800
Maria	;Ziólko	;1999.1.1;	555666777
			
Jolanta	;Magia	;2000.02.04;	666000111
			
 marian;	kowalewski;	1950.10.01;	670530120
Zygmunt	"	;Stefanowicz";	1991.06.01;	-
Ernest;	Gabka	;1991.06.01;	;
Elzb--ieta	;Zolw	;1988.03.03;	670540120
Elzbietaa2	;Dasdasdaaw	;1978.03.03	;670540120
Jolantaa2	;Magiaa2	;2000.02.04	;666000111
			
 mariana2	;kowalewskia2	;1950.10.01	;123123121
Zygmunta2	;"	Stefanowicz2";	1991.06.01;	-
Ernesta2	;GAbkaa2;	1991.06.01	;
Elzbietaa2	;ADwa2;	1988.03.03;	671540120;
Elzzbietaa22	;testest2	;1978.03.03;	672540120
